id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
1174,OMEPRAZOL MICROGRANULADOS,NCT00838682,Effect of High-dose Oral Rabeprazole on Recurrent Bleeding After the Endoscopic Treatment of Bleeding Peptic Ulcers,Peptic Ulcer Hemorrhage,"omeprazole sodium IV, Rabeprazole","Rebleeding Within 3 Days, Rebleeding After 3 Days, Surgery, Death, Mean Units of Blood Transfusion, Duration of Hospital Stay"
1175,CARBONATO DE CÁLCIO 90%,NCT01595282,Intramuscular Ketorolac Versus Oral Ibuprofen for Pain Relief in First Trimester Suction Curettage,Pain,"Ketorolac, Ibuprofen","Immediate Post-procedure Pain Score, Pain Scores Immediately After Cervical Dilation, Pain Scores 15 Minutes Post-procedure"
1176,ESTRIOL,NCT00302731,Bioidentical 'Natural' Hormone Evaluation in Early Menopause,Menopause,"Estradiol , estriol , progesterone, estradiol, progesterone, estriol, progesterone, equine estrogens m-progesteroneacetate","Change in Total Cholesterol, Endometrial Measurement, Number of Participants Without Change in Baseline and Follow up Mammograms, Number of Participants Without Change in Baseline and Follow up Bone Density"
1176,ESTRIOL,NCT01408030,North American Study of Epistaxis in Hereditary Hemorrhagic Telangiectasia (HHT),"Telangiectasia, Hereditary Hemorrhagic, Epistaxis","Sterile saline, Bevacizumab, Estriol, Tranexamic Acid","Frequency of Epistaxis, Duration of Epistaxis, Hoag Epistaxis Severity Score, Hemoglobin Level, Number of Participants Requiring Red Blood Cell (RBC) Transfusion, Number of Participants With Treatment Failure"
1179,ACETATO DE HIDROXOCOBALAMINA,NCT00609518,A Study for Patients With Non-Squamous Non-Small Cell Lung Cancer,Non Small Cell Lung Cancer,"pemetrexed, Folic acid, Folic Acid, Vitamin B12, dexamethasone, dexamethasone","Safety: Number of Participants With Drug-Related Grade 3 or 4 Toxicity, Proportion of Participants With Best Overall Tumor Response (Response Rate), Overall Survival, Progression-free Survival (PFS)"
1179,ACETATO DE HIDROXOCOBALAMINA,NCT00806819,Lume Lung 2 : BIBF 1120 Plus Pemetrexed Compared to Placebo Plus Pemetrexed in 2nd Line Nonsquamous NSCLC,"Carcinoma, Non-Small-Cell Lung","Nintedanib (BIBF1120), Pemetrexed, pemetrexed, B12, dexamethasone (or corticosteroid equivalent), placebo, dexamethasone (or corticosteroid equivalent), B12, Folic Acid, B12, dexamethasone (or corticosteroid equivalent), Folic Acid, placebo, Folic Acid, Nintedanib (BIBF1120), Pemetrexed","Progression Free Survival (PFS) as Assessed by Central Independent Review, Overall Survival (Key Secondary Endpoint), Follow-up Analysis of Progression Free Survival (PFS) as Assessed by Central Independent Review, Follow-up Analysis of Progression Free Survival (PFS) as Assessed by Investigator, Objective Tumor Response, Duration of Confirmed Objective Tumour Response, Time to Confirmed Objective Tumour Response, Disease Control, Duration of Disease Control, Change From Baseline in Tumour Size, Clinical Improvement., Quality of Life (QoL), Dose Normalised Predose Plasma Concentration at Steady State (Cpre,ss,Norm) of Nintedanib and of Its Metabolites BIBF 1202 and BIBF 1202 Glucuronide, Incidence and Intensity of Adverse Events"
1186,ETOSSUXIMIDA,NCT01122381,Comparison of a Drug and Placebo in the Prevention of Migraine Headaches,"Headache, Migraine","ethosuximide, placebo comparator",Migraine Headache Days Per 4 Week Period Comparing the Last 4 Weeks of Treatment to a 4 Week Pre-treatment Baseline.
1186,ETOSSUXIMIDA,NCT00088452,Childhood Absence Epilepsy Rx PK-PD-Pharmacogenetics Study,"Childhood Absence Epilepsy, Petit Mal Epilepsy, Epilepsy, Seizures","Ethosuximide, Lamotrigine, Valproic acid","Number of Participants With Freedom From Treatment Failure at 16-20 Weeks of Double Blind Therapy, Number of Participants With Attention Deficit as Measured by the Confidence Index of the CPT-II and the K-CPT, Number of Participants With Freedom From Treatment Failure at 12 Months of Double Blind Therapy"
1187,ARGENTUM NITRICUM,NCT02649894,"Safety and Effectiveness of a New Pleural Catheter for Symptomatic, Recurrent, MPEs Versus Approved Pleural Catheter",Malignant Pleural Effusion,"Active Comparator: Approved Uncoated PleurX Indwelling Pleural Catheter, Experimental: Silver Nitrate Coated Indwelling Pleural Catheter (SNCIPC)","The Proportion of Subjects Achieving Pleurodesis Without Recurrence., Time to Confirmed Pleurodesis, Time to Recurrence, Proportion of Surviving Subjects Without a Trapped Lung Diagnosis Following IPC Placement Who Have Confirmed Pleurodesis Without Recurrence at 14, 30, 60, 90 Days., Proportion of Subjects With Confirmed Pleurodesis and Without Recurrence 30 Days After IPC Placement by Cancer Type (Lung, Breast and Others)., Incidence of IPC Occlusion, Incidence of Empyema and Cellulitis, Pain Using 100 mm Visual Analog Scale (VAS)"
1189,HEPAR SULPHUR,NCT00829413,SonoVue®-Enhanced Ultrasound (US) Versus Unenhanced US for Focal Liver Lesion Characterization,Liver Neoplasms,SonoVue®,"Sensitivity: Percentage of True Positive Lesions Among All Malignant Lesions Per Truth Standard, Specificity: Percentage of True Negative Lesions Among All Benign Lesions Per Truth Standard', Accuracy: Percentage of True Positive and True Negative Among All Lesions, Positive Predictive Value [PPV]: Percentage of True Positive Lesions Among All Malignant Lesions Per Ultrasound, Negative Predictive Value [NPV]: Percentage of True Negative Lesions Among All Benign Lesions Per Ultrasound, Specific Diagnosis of Malignant FLLs, Specific Diagnosis of Benign FLLs, Inter-reader Agreement"
1189,HEPAR SULPHUR,NCT03652636,Evaluation of the Efficacy of Contrast Enhanced Ultrasound Compared to MRI for Differentiation of Hepatic Lesions,Hepatic Disease,Sulfur Hexafluoride Microspheres,"Accuracy of CEUS at Differentiating Focal Nodular Hyperplasia (FNH) From Hepatocellular Adenoma (HCA), AUC of Differentiating FNH From HCA (AUC Represents the Probability That the Model, if Given a Randomly Chosen Correct and Incorrect CEUS Diagnosis of a Lesion, Will Rank the Correct Higher Than the Incorrect)"
