id_active_ingredient,nm_active_ingredient,cd_nct,ds_title,ds_conditions,ds_interventions,ds_outcomes
2183,GUSELCUMABE,NCT03079531,Open Label Study to Assess the Effect of Secukinumab in Moderate to Severe Papulopustular Rosacea,Papulopustular Rosacea,Secukinumab,"Change From Baseline in Papule/Pustule Count at Week 16, Change From Baseline Papule/Pustule Count at Week 12, Change From Baseline in Clinician's Global Severity Score for Rosacea at Week 16, Change From Baseline in Clinician's Global Erythema Assessment Score at Week 16, Change From Baseline in Rosacea Quality of Life (RosaQoL) Score at Week 16, Count of Participants With ≥ Grade 3 Adverse Events, Change From Baseline in Immune Infiltrates in Papulopustular Rosacea Lesions at Week 16"
2183,GUSELCUMABE,NCT02905331,Efficacy and Safety Study of Guselkumab in the Treatment of Participants With Moderate to Severe Plaque-Type Psoriasis,Psoriasis,"Guselkumab, Placebo","Percentage of Participants Who Achieved an Investigator's Global Assessment (IGA) Score of Cleared (0) or Minimal (1) at Week 16, Percentage of Participants Who Achieved a Psoriasis Area and Severity Index (PASI) 90 Response at Week 16, Percentage of Participants Who Achieve an IGA Score of Cleared (0) at Week 16, Percentage of Participants Who Achieve a PASI 100 Response at Week 16, Percentage of Participants Who Achieved an IGA Score of Mild or Better (Less Than or Equal to [<=] 2) at Week 16, Percentage of Participants Who Achieve a PASI 50 Response and a PASI 75 Response at Week 16, Percent Improvement From Baseline in PASI Score at Week 16, Percent Improvement From Baseline in PASI Score Through Week 40, Percentage of Participants Who Achieved an IGA Score of Cleared (0), Cleared (0) or Minimal (1) and Mild or Better (<=2) Through Week 40, Percentage of Participants Who Achieved PASI 100 Responses, PASI 90 Responses, PASI 75 Responses, and PASI 50 Responses"
2184,INSULINA DEGLUDECA,NCT01278160,Comparison of Biphasic Insulin Aspart 30 Twice Daily With Two Different Initial Dosage Split Regimens in Subjects With Type 2 Diabetes: An Extension to Trial BIASP-3756,"Diabetes, Diabetes Mellitus, Type 2","biphasic insulin aspart 30, biphasic insulin aspart 30, metformin","Change in Glycosylated Haemoglobin A1c (HbA1c) From Baseline, 9-point SMPG (Self Measured Plasma Glucose) Profile, Percentage of Subjects Achieving HbA1c Below 7.0%, Percentage of Subjects Achieving HbA1c Below or Equal to 6.5%, Number of Treatment Emergent Hypoglycaemic Episodes"
2184,INSULINA DEGLUDECA,NCT01392573,A Trial Comparing the Efficacy and Safety of Insulin Degludec/Liraglutide and Insulin Degludec in Subjects With Type 2 Diabetes,"Diabetes, Diabetes Mellitus, Type 2","insulin degludec/liraglutide, insulin degludec","Change From Baseline in HbA1c (Glycosylated Haemoglobin), Change in Body Weight"
2184,INSULINA DEGLUDECA,NCT01835431,A Trial Investigating the Efficacy and Safety of Insulin Degludec/Insulin Aspart Once Daily Plus Insulin Aspart for the Remaining Meals Versus Insulin Detemir Once or Twice Daily Plus Meal Time Insulin Aspart in Children and Adolescents With Type 1 Diabetes Mellitus,"Diabetes, Diabetes Mellitus, Type 1","insulin degludec/insulin aspart, insulin aspart, insulin detemir, insulin aspart","Change From Baseline in HbA1c (Glycosylated Haemoglobin) (%), Change From Baseline in Fasting Plasma Glucose, Incidence of Treatment Emergent Adverse Events (TEAEs), Number of Treatment Emergent Confirmed Hypoglycaemic Episodes (Plasma Glucose (PG) Below 3.1mmol/L (56mg/dL) or Severe Hypoglycaemia), Number of Treatment Emergent Nocturnal Confirmed Hypoglycaemic Episodes, Number of Hyperglycaemic Episodes (PG Above 14.0 mmol/L (250 mg/dL) Where Subject Looks/Feels Ill, Number of Hyperglycaemic Episodes (PG Above 14.0 mmol/L (250 mg/dL) Where Subject Looks/Feels Ill With Ketosis (Blood Ketones Above 1.5 mmol/L)"
2184,INSULINA DEGLUDECA,NCT00461331,Comparison of Insulins Aspart and Lispro in Insulin Pumps,Type 1 Diabetes Mellitus,"Insulin Aspart, Insulin Lispro","Number of Participants With Glycemic Control (Glucose Levels Between 180-300 mg/dL) 24 to 100 Hours After Line Change, Daily Serum Glycomark Levels 48 to 100 Hours After Keeping the Same Pump Infusion Line in Place, Oxidative Stress Marker 48, 72 and 96 Hours After Keeping the Same Pump Infusion Line in Place"
2184,INSULINA DEGLUDECA,NCT04450394,A Phase 2 Study of LY3209590 in Participants With Type 2 Diabetes Mellitus,Type 2 Diabetes Mellitus,"LY3209590, Insulin Degludec","Change From Baseline in Hemoglobin A1c (HbA1c), Change From Baseline in Fasting Serum Glucose, Rate of Documented Hypoglycemia, Pharmacokinetics (PK): Area Under the Concentration Time Curve (AUC) of LY3209590"
2187,NITROGLICERINA,NCT03357731,A Study of Continuous Infusions of HNO (Nitroxyl) Donor in Patients With Heart Failure and Impaired Systolic Function,"Heart Failure, Cardiac Failure, Reduced Ventricular Ejection Fraction","HNO Donor, Nitroglycerin (NTG), Placebo","Mean Stroke Volume Index (SVI) Derived From the Velocity Time Integral at the Left Ventricular Outflow Tract (LVOT VTI) at the End of the 5-hour Infusion of BMS-986231, Versus Placebo, Mean SVI Derived From LVOT VTI at the End of the 5-hour Infusion of BMS-986231, Versus NTG, Mean LVEF, Computed by Simpson's Method at the End of the 5-hour Infusion of BMS-986231, Versus Placebo and NTG, Mean Cardiac Power Index at the End of the 5-hour Infusion of BMS-986231, Versus Placebo and NTG, Mean Diastolic Indices: E/A and E/e' Ratio at the End of the 5-hour Infusion of BMS-986231, Versus Placebo and NTG, Mean Diastolic Indices: Annular e' Velocity at the End of the 5-hour Infusion of BMS-986231, Versus Placebo and NTG, Mean LV Global Longitudinal Strain, Computed Using STE at the End of the 5-hour Infusion of BMS-986231, Versus Placebo and NTG"
2188,ELEXACAFTOR,NCT04599465,A Study to Assess the Effect of ELX/TEZ/IVA on Glucose Tolerance in Participants With Cystic Fibrosis (CF),Cystic Fibrosis,"ELX/TEZ/IVA, IVA","Change From Baseline in 2-hour Blood Glucose Levels Following an OGTT to the Average of Week 36 and Week 48, Percentage of Participants With Improvement in Dysglycemia Categorization at Week 48, Safety and Tolerability as Assessed by Number of Participants With Treatment-Emergent Adverse Events (TEAEs) and Serious Adverse Events (SAEs)"
2188,ELEXACAFTOR,NCT04058366,Study Evaluating the Long-term Safety and Efficacy of VX-445 Combination Therapy,Cystic Fibrosis,"ELX/TEZ/IVA, IVA","Part A: Safety and Tolerability as Assessed by Number of Participants With Treatment-Emergent Adverse Events (TEAEs) and Serious Adverse Events (SAEs), Part A: Absolute Change From Parent Study Baseline in Percent Predicted Forced Expiratory Volume in 1 Second (ppFEV1), Part A: Absolute Change From Parent Study Baseline in Sweat Chloride (SwCl), Part A: Absolute Change From Parent Study Baseline in Body Mass Index (BMI), Part A: Absolute Change From Parent Study Baseline in BMI Z-score, Part A: Absolute Change From Parent Study Baseline in Body Weight, Part A: Absolute Change From Parent Study Baseline in Cystic Fibrosis Questionnaire-Revised (CFQ-R) Respiratory Domain Score"
2188,ELEXACAFTOR,NCT05033080,A Phase 3 Study of VX-121 Combination Therapy in Participants With Cystic Fibrosis (CF) Heterozygous for F508del and a Minimal Function Mutation (F/MF),Cystic Fibrosis,"VX-121/TEZ/D-IVA, ELX/TEZ/IVA, IVA, Placebo (matched to VX-121/TEZ/D-IVA), Placebo (matched to ELX/TEZ/IVA), Placebo (matched to IVA)","Absolute Change in Percent Predicted Forced Expiratory Volume in 1 Second (ppFEV1), Absolute Change in Sweat Chloride (SwCl), Percentage of Participants With SwCl <60 mmol/L (Pooled With Data From Study VX20-121-103), Percentage of Participants With SwCl <30 mmol/L (Pooled With Data From Study VX20-121-103)"
2189,TRIÓXIDO DE ARSÊNIO,NCT00551460,"S0535, Gemtuzumab and Combination Chemotherapy in Treating Patients With Previously Untreated Acute Promyelocytic Leukemia",Leukemia,"arsenic trioxide, gemtuzumab ozogamicin, mercaptopurine, methotrexate, tretinoin","Continuous Complete Remission at 3 Years, Mortality Rate at 6 Weeks, Frequency of Toxicities"
2189,TRIÓXIDO DE ARSÊNIO,NCT01791894,Arsenic Trioxide in Treating Patients With Basal Cell Carcinoma,"Basal Cell Carcinoma of the Skin, Recurrent Skin Cancer",arsenic trioxide,"Percent Change in Biomarker (GLI2 Protein) Levels, Patients With Stable Disease Post Treatment, Patients With Progressive Disease Post Treatment by RECIST Criteria, Incidence of Grade 3/4 Adverse Events as Assessed by Common Terminology Criteria for Adverse Events (CTCAE) Version 3.0"
2190,LACTOBIONATO DE ERITROMICINA,NCT02605122,Safety and Efficacy of Solithromycin in Adolescents and Children With Community-Acquired Bacterial Pneumonia,Community-acquired Bacterial Pneumonia,"Solithromycin, Standard of Care","Overview of Adverse Events By Treatment Arm, Summary of Early Clinical Response, Summary of Clinical Improvement, Summary of Clinical Cure"
2191,CUMARINA,NCT00180674,Anticoagulation in Liver Fibrosis in Patients With Hepatitis C Virus Infection,Liver Fibrosis,Warfarin,"Median Liver Stiffness Value, Number of Participants With Adverse Events"
2191,CUMARINA,NCT00708435,Efficacy and Safety Study of BERIPLEX® P/N (Kcentra) Compared With Plasma in Patients With Acute Major Bleeding Caused by Anticoagulant Therapy,"Blood Coagulation Disorders, Acute Major Bleeding","Beriplex® P/N (Kcentra), Fresh frozen plasma","Percentage of Participants Achieving Hemostatic Efficacy of Stopping an Ongoing Major Bleed, Percentage of Participants Who Had a Rapid Decrease of the International Normalized Ratio (INR), Percentage of Participants Who Had Hemostatic Efficacy for Visible or Non-visible Musculoskeletal Bleeding, Incremental in Vivo Recovery (IVR) (Response) of Factors II, VII, IX, and X, Protein C, and Protein S for Beriplex, Plasma Levels of Factors II, VII, IX, and X, Protein C, and Protein S, Percentage of Participants With INR Correction at Various Times After the Start of Infusion, Percentage of Participants With INR Correction at Various Times After Randomization, Transfusion of Red Blood Cells, Use of Other Blood Products and Hemostatic Agents, 45-Day All-cause Mortality, Overall Treatment-emergent Adverse Events (TEAEs)"
2191,CUMARINA,NCT00803101,"An Open-label, Randomized, Multicenter Phase IIIb Study to Assess the Efficacy, Safety and Tolerance of BERIPLEX® P/N (Kcentra) Compared With Plasma for Rapid Reversal of Coagulopathy Induced by Vitamin K Antagonists in Subjects Requiring an Urgent Surgical Procedure",Reversal of Coagulopathy,"Beriplex® P/N (Kcentra), Fresh frozen plasma","Percentage of Participants Achieving Hemostatic Efficacy During Surgery, Percentage of Participants Who Had a Rapid Decrease of the INR, Plasma Levels of Factors II, VII, IX, and X, Protein C, and Protein S, Transfusion of Packed Red Blood Cells (PRBCs) or Whole Blood, Percentage of Participants With INR Correction at Various Times After the Start of Infusion, Percentage of Participants Who Received Red Blood Cells, Overall Treatment-emergent Adverse Events (TEAEs)"
2191,CUMARINA,NCT01848210,Efficacy and Safety of Coumarin and Troxerutin in the Symptomatic Treatment of Chronic Venous Insufficiency,Chronic Venous Insufficiency,"Coumarin/troxerutin, Placebo","Mean Change (Reduction) From Baseline in Volume of Reference Leg at Week 16, Change (Reduction) From Baseline in Local Complaint Severity, Overall Assessment by the Investigator, Number of Participants With Adverse Events (AEs)"
2192,TROXERRUTINA,NCT01848210,Efficacy and Safety of Coumarin and Troxerutin in the Symptomatic Treatment of Chronic Venous Insufficiency,Chronic Venous Insufficiency,"Coumarin/troxerutin, Placebo","Mean Change (Reduction) From Baseline in Volume of Reference Leg at Week 16, Change (Reduction) From Baseline in Local Complaint Severity, Overall Assessment by the Investigator, Number of Participants With Adverse Events (AEs)"
2192,TROXERRUTINA,NCT03104985,LLLT of Trophic Ulcers of Lower Extremities and Chronic Venous Insufficiency,"Trophic Ulcers, Chronic Venous Insufficiency","LASMIK, Conventional therapy",Number of Participants With Trophic Ulcer Healing
2194,DULAGLUTIDA,NCT04515576,A Study of LY3493269 in Participants With Type 2 Diabetes,"Diabetes Mellitus, Type 2","LY3493269, Dulaglutide, Placebo","Number of Participants With One or More Treatment-Emergent Adverse Event(s) (TEAEs) and Serious Adverse Event(s) (SAEs) Considered by the Investigator to be Related to Study Drug Administration, Pharmacokinetics (PK): Area Under the Concentration Versus Time Curve From Time Zero to 168 Hours Postdose AUC(0-168) of LY3493269, PK: Maximum Observed Drug Concentration (Cmax) of LY3493269, Pharmacodynamics (PD):Change From Baseline to Day 29 in Fasting Plasma Glucose"
2194,DULAGLUTIDA,NCT01075282,A Study in Participants With Type 2 Diabetes Mellitus (AWARD-2),"Diabetes Mellitus, Type 2","Insulin Glargine, LY2189265, Metformin, Glimepiride","Change From Baseline to 52 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c), Change From Baseline to 26 Weeks and 78 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c), Number of Participants Achieving Glycosylated Hemoglobin (HbA1c) Less Than 7% at 26, 52 and 78 Weeks, Number of Participants Achieving Glycosylated Hemoglobin (HbA1c) Less Than or Equal to 6.5% at 26, 52 and 78 Weeks, Change From Baseline to 26, 52 and 78 Weeks for Daily Mean Blood Glucose Values From the 8-point Self-monitored Blood Glucose (SMBG) Profiles, Change From Baseline to 52 and 78 Weeks in Updated Homeostasis Model Assessment of Beta-cell Function (HOMA2-%B) and Updated Homeostasis Model Assessment of Insulin Sensitivity (HOMA2-%S), Change From Baseline to 52 and 78 Weeks in Glucagon Concentration, Change From Baseline to 26, 52 and 78 Weeks for Body Weight, Change From Baseline to 26, 52 and 78 Weeks for Body Mass Index, Change From Baseline to 26, 52 and 78 Weeks in the EuroQol 5 Dimension, Change From Baseline to 26, 52 and 78 Weeks in the Impact of Weight on Activities of Daily Living, Change From Baseline to 26, 52 and 78 Weeks in the Impact of Weight on Self-Perception, Change From Baseline to 26, 52 and 78 Weeks in the Low Blood Sugar Survey, Number of Participants With Treatment Emergent Adverse Events at 26, 52 and 78 Weeks, Number of Self-reported Hypoglycemic Events at 26, 52 and 78 Weeks, Rate of Self-reported Hypoglycemic Events at 26, 52 and 78 Weeks, Number of Participants Requiring Additional Intervention Due to Hyperglycemia at 26, 52 and 78 Weeks, Change From Baseline to 26, 52 and 78 Weeks on Pancreatic Enzymes, Number of Participants With Adjudicated Pancreatitis at 26, 52 and 78 Weeks, Change From Baseline to 26, 52 and 78 Weeks on Serum Calcitonin, Number of Participants With Adjudicated Cardiovascular Events at 26, 52 and 78 Weeks, Change in Baseline to 26, 52 and 78 Weeks on Pulse Rate, Change From Baseline to 26, 52, and 78 Weeks on Blood Pressure, Change From Baseline to 26, 52 and 78 Weeks on Electrocardiogram Parameters, Heart Rate, Change From Baseline to 26, 52 and 78 Weeks on Electrocardiogram Parameters, Fridericia Corrected QT (QTcF) Interval and PR Interval, Number of Participants With LY2189265 Antibodies at 26, 52, 78 Weeks and 4 Weeks After Last Dose of Study Drug (83 Weeks Maximum)"
2194,DULAGLUTIDA,NCT04809220,A Study of Two Doses of Dulaglutide (LY2189265) in Japanese Patients With Type 2 Diabetes,"Diabetes Mellitus, Diabetes Mellitus, Type 2, Glucose Metabolism Disorders, Metabolic Disease, Endocrine System Diseases, Hypoglycemic Agents, Type 2 Diabetes Mellitus (T2DM)","Dulaglutide, Oral antihyperglycemics","Change From Baseline in Hemoglobin A1c (HbA1c) at Week 26, Change From Baseline in HbA1c at Week 52, Percentage of Participants Achieving HbA1c Target ≤6.5% and <7.0%, Change From Baseline in Fasting Serum Glucose (FSG), Change From Baseline in 6-point Self-Monitored Blood Glucose (SMBG), Change From Baseline in Body Weight"
2194,DULAGLUTIDA,NCT01300260,Effect of LY2189265 on Insulin Secretion in Response to Intravenous Glucose,"Diabetes Mellitus, Type 2","LY2189265, Placebo, Insulin, Glucose, Glucagon","Maximum Insulin Concentration (Cmax) - First Phase Response, Area Under the Insulin Concentration-time Curve (AUC) - First Phase Response, Maximum Insulin Concentration (Cmax) - Second Phase Response, Insulin Area Under the Curve (AUC) - Second Phase Response, Insulin Maximum Concentration (Cmax), Area Under the Insulin Concentration-time Curve (AUC)"
2195,DITOSILATO DE LAPATINIBE,NCT00953576,"Ketoconazole, Hydrocortisone, Dutasteride and Lapatinib (KHAD-L) in Prostate Cancer",Prostate Cancer,"ketoconazole, hydrocortisone, dutasteride, lapatinib","Lapatinib Maximum Tolerated Dose (MTD) [Phase I], Lapatinib Dose Limiting Toxicity (DLT) [Phase I], Plasma Lapatinib Levels [Phase I], Grade 3-4 Treatment-Related Adverse Events Rate"
2195,DITOSILATO DE LAPATINIBE,NCT00387127,Lapatinib Versus Placebo Given Concurrently With Cisplatin And Radiotherapy In Patients With Unresected Head And Neck Cancer,"Neoplasms, Head and Neck","Lapatinib oral tablets, radiotherapy, cisplatin chemotherapy","Number of Participants (Par.) With Complete Response (CR), as Assessed by Independent Radiological Review, Number of Participants With CR, as Assessed by the Investigator, Progression-Free Survival (PFS), as Assessed by the Investigator, Overall Survival (OS), Number of Participants Who Died Due to Progressive Disease, Disease-specific Survival, Number of Participants With Loco-regional Recurrence of Initial Disease, Loco-regional Control, Number of Participants With Distant Recurrence of Initial Disease, Distant Relapse, Number of Participants With Overall Response (OR), as Assessed by the Investigator, Number of Participants Positive and Negative for the Expression of Biomarkers in Tumor Tissue: Human Epidermal Growth Factor Receptor (HER)-1, HER2, HER3, HER4, P16, and Transforming Growth Factor (TGF-alpha), Plasma Proteome Analysis, Analysis of Deoxyribonucleic Acid (DNA) and Ribonucleic Acid (RNA) From Tumor Samples, Number of Participants Negative and Positive for Human Papilloma Virus (HPV) Infection, as Determined From Tumor Samples, Number of Participants Positive and Negative for Biomarker HER1/ErbB1 Categorized in the Indicated Independent Review Panel-assessed Tumor Responses by Expression of Biomarkers From Tumor Tissue: Sensitivity Analysis - 0 Versus (1, 2, 3), Number of Participants Positive and Negative for Biomarker HER1/ErbB1 Categorized in the Indicated Independent Review Panel-assessed Tumor Responses by Expression of Biomarkers From Tumor Tissues: Sensitivity Analysis - 0, 1, 2 Versus 3, Number of Participants Classified as Responders, as Per Volumetric Tumor Response"
2195,DITOSILATO DE LAPATINIBE,NCT01499160,Letrozole and Lapatinib Followed by Everolimus in Women With Advanced Breast Cancer,"Breast Neoplasms, Endocrine Breast Diseases, Neoplasm Metastasis","letrozole, lapatinib, everolimus","Clinical Benefit Rate of Patients Treated With the Combination of Letrozole and Lapatinib and Then After Progression, Treated With Everolimus, Letrozole and Lapatinib., PROGRESSION FREE SURVIVAL TUMOR ASSESSMENT"
2195,DITOSILATO DE LAPATINIBE,NCT00741260,Study Evaluating The Combination Of Neratinib And Capecitabine In Solid Tumors And Breast Cancer,Breast Cancer,"Neratinib, Capecitabine","Number of Participants With Dose Limiting Toxicities, Overall Response Rate, Clinical Benefit Rate, Duration of Response, Maximum Tolerated Dose (MTD) of Neratinib, Maximum Tolerated Dose (MTD) of Capecitabine"
2196,NATALIZUMABE,NCT00536120,The Effects of Tysabri Treatment on Vaccination Response and Lymphocyte Subsets in Subjects With Relapsing Forms of Multiple Sclerosis,Multiple Sclerosis,"BG00002 (natalizumab), keyhole limpet hemocyanin (KLH), tetanus diphtheria toxoid vaccine (Td)","Percentage of Keyhole Limpet Hemocyanin (KLH) Responders at Day 28 Post-Vaccination, Percentage of Tetanus Diphtheria Toxoid (Td) Responders at Day 28 Post-Vaccination, Mean Percentage Change From Baseline in Circulating Lymphocyte Subsets CD3+, CD4+, CD8+, CD19+, and CD56+ at Month 3 of Tysabri Therapy, Mean Percentage Change From Baseline in Circulating Lymphocyte Subsets CD3+, CD4+, CD8+, CD19+, and CD56+ at Month 6 of Tysabri Therapy, Mean Alpha4-Integrin Saturation at Baseline, Month 3, and Month 6, Mean Alpha4-Integrin Expression at Baseline, Month 3, and Month 6"
2196,NATALIZUMABE,NCT00871780,"A Prospective, Open-label, Non-randomized, Clinical Trial to Determine if Natalizumab (Tysabri®) Improves Ambulatory Measures in Relapsing-remitting Multiple Sclerosis (RRMS) Patients",Relapsing Remitting Multiple Sclerosis (RRMS),BG00002 (natalizumab),"Change From Baseline in the Timed 100-meter Walk Test (T100T), Change From Baseline in the Timed 25-foot Walk Test (T25FW), Change From Baseline in Maximum Walking Distance (MWD), Change From Baseline in Expanded Disability Status Scale (EDSS), Correlation Between the EDSS and MWD (Pearson Correlation Coefficient), Correlation Between the EDSS and MWD (Spearman Correlation Coefficient), Correlation Between the T100T and T25FW (Pearson Correlation Coefficient), Correlation Between the T100T and T25FW (Spearman Correlation Coefficient), Correlation Between the EDSS and T25FW (Pearson Correlation Coefficient), Correlation Between the EDSS and T25FW (Spearman Correlation Coefficient), Correlation Between the EDSS and T100T (Pearson Correlation Coefficient), Correlation Between the EDSS and T100T (Spearman Correlation Coefficient), Improvement in Timed 25FT Walk Speed and T100T Speed at Week 24 and 48"
2196,NATALIZUMABE,NCT01455220,The Effect of Natalizumab (Tysabri) on Sexual Dysfunction in Multiple Sclerosis,Multiple Sclerosis,Tysabri ® (Natalizumab),"Sexual Dysfunction (as Measured by the Multiple Sclerosis Intimacy and Sexuality Questionnaire (MSISQ-19) ), Sexual Function (as Measured by the Multiple Sclerosis Quality of Life (MSQOL-54)), Health Related Quality of Life (as Measured by the Functional Assessment of MS (FAMS)), Quality of Life (as Measured by the Multiple Sclerosis Quality of Life (MSQOL-54))"
2197,MESILATO DE DABRAFENIBE,NCT02281760,Dabrafenib and Trametinib in People With BRAF V600E Mutation Positive Lesions in Erdheim Chester Disease,BRAF V600E Mutation,"Dabrafenib Mesylate, Trametinib Dimethyl Sulfoxide","Number of Participants With Partial Response to Dabrafenib and Trametinib, Number of Participants With Adverse Events to Dabrafenib and/or Trametinib, Clinical Response Rate to Dabrafenib/Trametinib Combination Therapy in a Cohort of Patients With BRAFV600E Positive Erdheim Chester Disease., Progression-free Survival in a Cohort of Patients With BRAFV600E Positive Erdheim Chester Disease, Overall Survival in a Cohort of Patients With BRAFV600E Positive Erdheim Chester Disease, Disease Resistance to Dabrafenib/Trametinib Combination Therapy in a Cohort of Patients With BRAFV600E Positive Erdheim Chester Disease, Time Response to Dabrafenib/Trametinib Combination Therapy in a Cohort of Patients With BRAFV600E Positive Erdheim Chester Disease."
2197,MESILATO DE DABRAFENIBE,NCT01902173,"Uprosertib, Dabrafenib, and Trametinib in Treating Patients With Stage IIIC-IV Cancer","Hematopoietic and Lymphoid Cell Neoplasm, Locally Advanced Malignant Solid Neoplasm, Locally Advanced Melanoma, Metastatic Malignant Solid Neoplasm, Metastatic Melanoma, Stage IIIC Cutaneous Melanoma AJCC v7, Stage IV Cutaneous Melanoma AJCC v6 and v7, Unresectable Malignant Solid Neoplasm, Unresectable Melanoma","Biopsy, Biospecimen Collection, Computed Tomography, Dabrafenib Mesylate, Magnetic Resonance Imaging, Trametinib Dimethyl Sulfoxide, Uprosertib","Maximum-tolerated Dose (MTD) of Akt Inhibitor GSK2141795 in Combination With Dabrafenib., Maximum-tolerated Dose (MTD) of Akt Inhibitor GSK2141795 in Combination With Dabrafenib and Trametinib., Objective Response Rate (Confirmed and Unconfirmed, Complete and Partial Responses) as Assessed by RECIST Version 1.1 of the Doublet Regimen GSK2141795 + Dabrafenib at the Phase I Determined MTD. (Phase II), Objective Response Rate (Confirmed and Unconfirmed, Complete and Partial Responses) as Assessed by RECIST Version 1.1 of the Triplet Regimen GSK2141795 + Dabrafenib + Trametinib at the Phase I Determined MTD. (Phase II), Overall Survival (Phase II) of Patients Treated at the Phase I Determined MTD of Doublet Regimen, Overall Survival (Phase II) of Patients Treated at the Phase I Determined MTD of Triplet Regimen, Progression-free Survival as Assessed by RECIST Version 1.1 of the Doublet Regimen at the Phase I Determined MTD (Phase II), Progression-free Survival as Assessed by RECIST Version 1.1 of the Triplet Regimen at the Phase I Determined MTD (Phase II), Toxicity Rate of MTD Graded by the NCI CTCAE Version 4.0 (Phase II), Pharmacokinetic Parameters, Prevalence of Markers"
2197,MESILATO DE DABRAFENIBE,NCT01336634,Study of Selective BRAF Kinase Inhibitor Dabrafenib Monotherapy Twice Daily and in Combination With Dabrafenib Twice Daily and Trametinib Once Daily in Combination Therapy in Subjects With BRAF V600E Mutation Positive Metastatic (Stage IV) Non-small Cell Lung Cancer.,Cancer,"Dabrafenib, Trametinib","Overall Response Rate (ORR), Progression Free Survival (PFS) Based on Local Investigator Assessment, Duration of Response (DoR) Based on Local Investigator Assessment, Overall Survival (OS), Number of Participants With Treatment Emergent Adverse Events, Apparent Clearance (CL/F) of Dabrafenib, Oral Volume of Distribution (V/F) of Dabrafenib, Apparent Clearance (CL/F) of Trametinib, Oral Volume of Distribution (V/F) of Trametinib, All Collected Deaths"
2199,ATEZOLIZUMABE,NCT03050060,"Image Guided Hypofractionated Radiation Therapy, Nelfinavir Mesylate, Pembrolizumab, Nivolumab and Atezolizumab in Treating Patients With Advanced Melanoma, Lung, or Kidney Cancer","Metastatic Kidney Carcinoma, Recurrent Lung Non-Small Cell Carcinoma, Stage IV Cutaneous Melanoma AJCC v6 and v7, Stage IV Renal Cell Cancer AJCC v7, Stage IV Lung Non-Small Cell Cancer AJCC v7","Atezolizumab, Hypofractionated Radiation Therapy, Laboratory Biomarker Analysis, Nelfinavir Mesylate, Nivolumab, Pembrolizumab","Response Rate, Overall Survival, Progression-free Survival, Number of Adverse Events, Immune Correlative Studies: Changes in T-cell Repertoire"
2199,ATEZOLIZUMABE,NCT02450331,A Study of Atezolizumab Versus Observation as Adjuvant Therapy in Participants With High-Risk Muscle-Invasive Urothelial Carcinoma (UC) After Surgical Resection,"Carcinoma, Transitional Cell",Atezolizumab,"Disease-Free Survival (DFS), as Assessed by Investigator, Overall Survival (OS), Disease-Specific Survival (DSS), as Assessed by Investigator, Distant Metastasis-Free Survival (DMFS), Non-Urinary Tract Recurrence-Free Survival (NURFS), Percentage of Participants With Adverse Events (AEs), Percentage of Participants With Anti-Therapeutic Antibodies (ATAs) to Atezolizumab, EuroQol 5-Dimension 5-Level (EQ-5D-5L) Visual Analogue Scale Score, Minimum Observed Serum Atezolizumab Concentration (Cmin), Maximum Observed Serum Atezolizumab Concentration (Cmax)"
2202,VACINA ADSORVIDA MENINGOCÓCICA B (RECOMBINANTE),NCT01272180,Safety and Immunogenicity of Different Meningitis Vaccine Formulations in Adolescents and Young Adults,Invasive Meningococcal Disease,"Meningococcal (groups A, C, W, Y) oligosaccharide diphtheria CRM-197 conjugate combined with meningococcal (group B) multicomponent recombinant vaccine + OMV., Meningococcal (group B) multicomponent recombinant adsorbed vaccine plus OMV., Meningococcal (groups A, C, W, and Y) oligosaccharide diphtheria CRM-197 conjugate vaccine., Meningococcal (groups A, C, W, Y) oligosaccharide diphtheria CRM-197 conjugate combined with meningococcal (group B) multicomponent recombinant vaccine + qOMV.","Percentages of Subjects With a Seroresponse Against N.Meningitidis Serogroups A,C,W-135,Y, After Receiving Different Formulations of MenABCWY Combination Vaccine., Desirability Index for Each Vaccine Group, Based on Immunogenicity and Reactogenicity Parameters., Percentages of Subjects With hSBA Titers ≥ 1:8 Against N.Meningitidis Serogroups A,C,W-135 and Y, After Vaccination With Different Formulations of MenABCWY Combination Vaccine., The hSBA GMTs Against N.Meningitidis Serogroups A,C,W-135 and Y, After Vaccination With Different Formulations of MenABCWY Combination Vaccine., Percentages of Subjects With hSBA Titers ≥ 1:5 and ≥ 1:8 Against N.Meningitidis Serogroup B, After Vaccination With Different Formulations of MenABCWY Combination Vaccine., Percentages of Subjects With at Least 4-fold Increase in hSBA Titers Against N.Meningitidis Serogroup B, After Vaccination With Different Formulations of MenABCWY Combination Vaccine., The hSBA GMTs Against N.Meningitidis serogroupB, After Vaccination With Different Formulations of MenABCWY Combination Vaccine., The Geometric Mean Ratio of Post vs Pre Vaccination GMTs Against N.Meningitidis Serogroup B, After Vaccination With Different Formulations of MenABCWY Combination Vaccine., The Number of Subjects Reporting Solicited Adverse Events After Receiving Any Vaccination in This Study., The Number of Subjects Reporting Unsolicited Adverse Events After Receiving Any Vaccination in This Study., Percentages of Subjects With hSBA Titers ≥ 1:5 Against N.Meningitidis Serogroup B Strains 44/76 and 5/99"
