Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
REZIMORP;CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA;18.268.051/0001-64;0801377251;16/06/2025;TODAS
ARTAG;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0845247255;27/06/2025;TODAS
fluconazol;BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA;47.231.121/0001-08;0013121251;06/01/2025;TODAS
ATESTO;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;0495716243;18/04/2024;TODAS
ELOXATIN;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0528905252;17/04/2025;TODAS
ácido ursodesoxicólico;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;1735631248;19/12/2024;TODAS
paracetamol + fosfato de codeína;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;1428673245;17/10/2024;TODAS
fosfato de sitagliptina;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;1671447247;06/12/2024;TODAS
AVIANT;ORGANON FARMACÊUTICA LTDA.;45.987.013/0001-34;4254506228;03/06/2022;TODAS
REVERT;FARMOQUÍMICA S/A;33.349.473/0001-58;0669217247;20/05/2024;TODAS
BUSCOPAN;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0673688232;30/06/2023;TODAS
cabergolina;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;1579704247;18/11/2024;TODAS
RIFALDIN;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0833225251;25/06/2025;TODAS
TALZENNA;PFIZER BRASIL LTDA;61.072.393/0001-33;0829570250;24/06/2025;TODAS
Aciclovir;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;2049008219;27/05/2021;TODAS
ILUDRAL;ADIUM S.A.;55.980.684/0001-27;0515528251;15/04/2025;TODAS
PROSOY;FARMOQUÍMICA S/A;33.349.473/0001-58;1176979248;27/08/2024;TODAS
POLAPIC;EMS S/A;57.507.378/0003-65;4944322224;16/11/2022;TODAS
PLUTO;SUN FARMACÊUTICA DO BRASIL LTDA;05.035.244/0001-23;0833638254;25/06/2025;TODAS
TEBONIN;HERBARIUM LABORATORIO BOTANICO LTDA;78.950.011/0001-20;0155303252;04/02/2025;TODAS
Elaprase;TAKEDA PHARMA LTDA.;60.397.775/0001-74;0275979245;06/03/2024;TODAS
PYVERM;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;0839946252;26/06/2025;TODAS
PRAZY;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0342012258;13/03/2025;TODAS
Sulfato de Amicacina;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;1393392245;10/10/2024;TODAS
PRENI;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0809359251;17/06/2025;TODAS
mesilato de imatinibe;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0281990255;27/02/2025;TODAS
JEMPERLI;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;1528983246;06/11/2024;TODAS
GENTAMICIN;FRESENIUS KABI BRASIL LTDA;49.324.221/0001-04;1471917240;25/10/2024;TODAS
azitromicina di-hidratada;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0680501258;21/05/2025;TODAS
BHENA;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;0483072257;08/04/2025;TODAS
COMBFIX;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0982664257;29/07/2025;TODAS
MELYSSE;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0607113251;06/05/2025;TODAS
NEXOPRAX;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1161349243;23/08/2024;TODAS
CLORIDRATO DE CEFEPIME;EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA;44.639.493/0001-80;1085683257;15/08/2025;TODAS
CONSIV;ADIUM S.A.;55.980.684/0001-27;0288894251;28/02/2025;TODAS
BUCLINA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0905825241;03/07/2024;TODAS
POLARAX;AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;01.858.973/0001-29;0134305256;30/01/2025;TODAS
tibolona;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;0289254256;28/02/2025;TODAS
