Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Categoria
secnidazol;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;3077009218;06/08/2021;TODAS
omeprazol;CIMED INDUSTRIA S.A;02.814.497/0001-07;1159175250;29/08/2025;TODAS
omeprazol;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;1102182189;21/11/2018;TODAS
GLIMEPIRIDA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1469190249;25/10/2024;TODAS
cloridrato de dobutamina;ANTIBIÓTICOS DO BRASIL LTDA;05.439.635/0001-03;0708093210;22/02/2021;TODAS
ASTRO;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0943933251;21/07/2025;TODAS
KIGEFO;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;03.978.166/0001-75;0929890256;17/07/2025;TODAS
SENES;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;0515431257;15/04/2025;TODAS
gcib;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1036452218;17/03/2021;TODAS
DUAL;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0995805237;19/09/2023;TODAS
TEUMIB;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;2465439219;25/06/2021;TODAS
RPHLIMPHA;MJM PRODUTOS FARMACEUTICOS E DE RADIOPROTECAO S.A.;04.891.262/0001-44;1459814240;23/10/2024;TODAS
FRUTAXX;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;0485828251;09/04/2025;TODAS
EXCALV;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1015445181;19/10/2018;TODAS
DOMPERIDONA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0715352229;25/02/2022;TODAS
diclofenaco potássico;CIMED INDUSTRIA S.A;02.814.497/0001-07;0473913241;15/04/2024;TODAS
ESTOMAZIL;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0803438257;16/06/2025;TODAS
DESCON;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;0551418257;24/04/2025;TODAS
SINOT CLAV;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0921360258;15/07/2025;TODAS
BISSULFATO DE CLOPIDOGREL;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;0104663251;24/01/2025;TODAS
DIPROPIONATO DE BECLOMETASONA;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;0720989256;28/05/2025;TODAS
NEOLEFRIN DIA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0371189233;13/04/2023;TODAS
amoxicilina sódica + clavulanato de potássio;EUGIA PHARMA INDUSTRIA FARMACEUTICA LTDA;44.639.493/0001-80;1731563248;18/12/2024;TODAS
mesilato de doxazosina;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1001867254;04/08/2025;TODAS
FLUCOMED;CIMED INDUSTRIA S.A;02.814.497/0001-07;0466785219;04/02/2021;TODAS
PARACETAMOL+FOSFATO DE CODEINA;EMS S/A;57.507.378/0003-65;0249936259;21/02/2025;TODAS
cloridrato de metformina;TORRENT DO BRASIL LTDA;33.078.528/0001-32;3246687226;20/05/2022;TODAS
Adempas®;BAYER S.A.;18.459.628/0001-15;4863077220;25/10/2022;TODAS
FENOBARBITAL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0665668252;16/05/2025;TODAS
SINOT;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0418656231;26/04/2023;TODAS
isotretinoína;EMS S/A;57.507.378/0003-65;0357485246;22/03/2024;TODAS
SANY D;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0358318254;17/03/2025;TODAS
HIDROPEEK;EMS S/A;57.507.378/0003-65;1381605215;11/04/2021;TODAS
ONCILEG;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;5048461223;13/12/2022;TODAS
ONCILEG;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0060155256;15/01/2025;TODAS
ORLISTATE;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;1429388219;14/04/2021;TODAS
CARDCOR;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0764460184;03/08/2018;TODAS
ácido mefenâmico;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1112196242;14/08/2024;TODAS
MEGY;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;0930666259;17/07/2025;TODAS
CETOCONAZOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0170516184;06/03/2018;TODAS
EUPROSTATIN;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;1002064252;04/08/2025;TODAS
MICOFENOLATO DE SÓDIO;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;2706777214;12/07/2021;TODAS
LETROZOL;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;0488059259;09/04/2025;TODAS
CINETOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0953998211;11/03/2021;TODAS
drospirenona + etinilestradiol;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;0929990234;31/08/2023;TODAS
bromoprida;WASSER FARMA LTDA;01.564.260/0001-52;1006670238;21/09/2023;TODAS
VOLTAFLEX AP;EMS S/A;57.507.378/0003-65;0584557256;30/04/2025;TODAS
CYCLOFLUOR;Cyclopet Radiofarmacos ltda;09.225.881/0001-13;1139222252;25/08/2025;TODAS
RPHKARDIA;MJM PRODUTOS FARMACEUTICOS E DE RADIOPROTECAO S.A.;04.891.262/0001-44;1050383249;01/08/2024;TODAS
Tramal;GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.;10.555.143/0001-13;1368354246;04/10/2024;TODAS
Tramal Retard;GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.;10.555.143/0001-13;1368503241;04/10/2024;TODAS
Tramal;GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.;10.555.143/0001-13;1368580246;04/10/2024;TODAS
Tramal;GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.;10.555.143/0001-13;1368192246;04/10/2024;TODAS
cloridrato de lercanidipino;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1158565259;29/08/2025;TODAS
CETOCONAZOL;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;0886647203;24/03/2020;TODAS
CETOCONAZOL;CIMED INDUSTRIA S.A;02.814.497/0001-07;0465769241;12/04/2024;TODAS
bromidrato de galantamina;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0315906251;07/03/2025;TODAS
BUSCOPLEX COMPOSTO;NATULAB LABORATORIO S.A;02.456.955/0001-83;0936268247;09/07/2024;TODAS
LEVIXE;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0672948231;30/06/2023;TODAS
PANT;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0379272253;20/03/2025;TODAS
TERMOPIRONA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0995387186;15/10/2018;TODAS
VAGICAND;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;3847595202;03/11/2020;TODAS
GLICOCER;UNIÃO BRASILEIRA DE EDUCAÇÃO E ASSISTÊNCIA;88.630.413/0001-09;0288405234;22/03/2023;TODAS
citrato de sildenafila;EMS S/A;57.507.378/0003-65;4502755222;03/08/2022;TODAS
citrato de sildenafila;EMS S/A;57.507.378/0003-65;1443745243;21/10/2024;TODAS
BIMATOPROSTA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1666957241;05/12/2024;TODAS
HEMIFUMARATO DE QUETIAPINA;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0336095252;12/03/2025;TODAS
FLODIN DUO;ADIUM S.A.;55.980.684/0001-27;0795124244;13/06/2024;TODAS
PRÓS-HP;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;1085074251;15/08/2025;TODAS
CLORIDRATO DE LERCANIDIPINO;EMS S/A;57.507.378/0003-65;1158548257;29/08/2025;TODAS
SECNIDAZOL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0048828254;14/01/2025;TODAS
ESC;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0152575243;07/02/2024;TODAS
Uman Albumin;KEDRION BRASIL LTDA.;09.284.952/0001-59;0916376257;14/07/2025;TODAS
AD-VITAM;NATULAB LABORATORIO S.A;02.456.955/0001-83;3762836213;23/09/2021;TODAS
rosuvastatina cálcica;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1066342253;14/08/2025;TODAS
Cloridrato de Sertralina;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1118250257;19/08/2025;TODAS
VALERATO DE BETAMETASONA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0161853251;05/02/2025;TODAS
captopril;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;0941516155;26/10/2015;TODAS
DESALEX;ORGANON FARMACÊUTICA LTDA.;45.987.013/0001-34;0719355257;27/05/2025;TODAS
RESIST;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0607297255;06/05/2025;TODAS
MEPACT;TAKEDA PHARMA LTDA.;60.397.775/0001-74;1443081219;15/04/2021;TODAS
LORATADINA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;0808631250;17/06/2025;TODAS
Arulatan;BL INDÚSTRIA OTICA LTDA;27.011.022/0001-03;0726465218;23/02/2021;TODAS
cetoconazol + diproprionato de betametasona + sulfato de neomicina;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0990659259;31/07/2025;TODAS
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0991022254;31/07/2025;TODAS
CORATEZ;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;1044904259;12/08/2025;TODAS
PYLORIPAC;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0680914251;21/05/2025;TODAS
ZARZIO;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;1162186241;23/08/2024;TODAS
SELETIV;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0826108253;23/06/2025;TODAS
PROLEPTOL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0620235250;08/05/2025;TODAS
CAPYLA-HAIR;EMS SIGMA PHARMA LTDA;00.923.140/0001-31;0630292256;09/05/2025;TODAS
FIRMAGON;LABORATÓRIOS FERRING LTDA;74.232.034/0001-48;1197815244;30/08/2024;TODAS
rosuvastatina cálcica;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1163782254;01/09/2025;TODAS
BROMIL;EMS S/A;57.507.378/0003-65;1381809211;11/04/2021;TODAS
oxalato de escitalopram;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0683250248;22/05/2024;TODAS
MELOXICAM;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0792728254;12/06/2025;TODAS
VALSARTANA+HIDROCLOROTIAZIDA;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;2841952215;21/07/2021;TODAS
GABAPENTINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1383427174;06/07/2017;TODAS
cloridrato de tansulosina;EMS S/A;57.507.378/0003-65;0862730252;01/07/2025;TODAS
ACIDO ZOLEDRONICO;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0662073258;16/05/2025;TODAS
VECTIBIX;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.;18.774.815/0001-93;0684504251;21/05/2025;TODAS
cloridrato de fluoxetina;CIMED INDUSTRIA S.A;02.814.497/0001-07;0105926256;24/01/2025;TODAS
ZASTAT;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;60.659.463/0029-92;0894797247;01/07/2024;TODAS
Doriipro;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;1325692247;26/09/2024;TODAS
UNIAIR;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;4871473228;26/10/2022;TODAS
dipropionato de betametasona + sulfato de gentamicina;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0809609258;17/06/2025;TODAS
VITASANTISA C;SANTISA LABORATÓRIO FARMACÊUTICO S/A;04.099.395/0001-82;1159305251;29/08/2025;TODAS
Prolastin-C;GRIFOLS BRASIL LTDA;02.513.899/0001-71;1150567252;27/08/2025;TODAS
QUET;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1207159255;11/09/2025;TODAS
diclofenaco sódico;CIMED INDUSTRIA S.A;02.814.497/0001-07;1954957191;09/08/2019;TODAS
CLORIDRATO DE ZIPRASIDONA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1906443198;30/07/2019;TODAS
EZET;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1044981253;12/08/2025;TODAS
Targin;MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA;15.127.898/0001-30;0677120231;03/07/2023;TODAS
HIFLOXAN;HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;01.571.702/0001-98;0226786234;07/03/2023;TODAS
Succinato de metoprolol;ACCORD FARMACÊUTICA LTDA;64.171.697/0001-46;0640363253;12/05/2025;TODAS
OXALATO DE ESCITALOPRAM;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0395194253;24/03/2025;TODAS
CAPSFEN;CATALENT BRASIL LTDA.;45.569.555/0007-82;1183463243;28/08/2024;TODAS
GLIMEPIRIDA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0639178218;17/02/2021;TODAS
DICLOFENACO DIETILAMÔNIO;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1153077256;28/08/2025;TODAS
losartana potássica;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;0391964181;16/05/2018;TODAS
PRAZOL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1120888247;15/08/2024;TODAS
cetoconazol + dipropionato de betametasona;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1616415240;26/11/2024;TODAS
CLONAZEPAM;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1619923246;27/11/2024;TODAS
ácido zoledrônico;VIATRIS FARMACEUTICA DO BRASIL LTDA;11.643.096/0001-22;1074501241;07/08/2024;TODAS
CLARITROMICINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0420419250;27/03/2025;TODAS
dipirona monoidratada;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0322696259;10/03/2025;TODAS
Ciclopirox Olamina;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0066989256;16/01/2025;TODAS
CAPTOPRIL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1358332240;03/10/2024;TODAS
VORICONAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1179541251;04/09/2025;TODAS
LANSOPRAZOL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1120429242;15/08/2024;TODAS
CLONAZEPAM;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0620410256;08/05/2025;TODAS
dicloridrato de pramipexol;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0357031237;10/04/2023;TODAS
cloridrato de fluoxetina;LABORATÓRIO GLOBO SA;17.115.437/0001-73;0704376253;24/05/2025;TODAS
AZITROMICINA MONOIDRATADA;ANTIBIÓTICOS DO BRASIL LTDA;05.439.635/0001-03;0909326240;03/07/2024;TODAS
BLINCYTO;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.;18.774.815/0001-93;0930272251;17/07/2025;TODAS
MTX;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;0553379259;24/04/2025;TODAS
Vatis;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0497685256;10/04/2025;TODAS
CIPRO;BAYER S.A.;18.459.628/0001-15;1740560248;20/12/2024;TODAS
ACICLOVIR;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1149549254;27/08/2025;TODAS
aceclofenaco;CIMED INDUSTRIA S.A;02.814.497/0001-07;0535094248;23/04/2024;TODAS
EZETIMIBA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1042118256;12/08/2025;TODAS
ROSUVASTATINA CALCICA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;04.301.884/0001-75;0710449259;26/05/2025;TODAS
ARIPIPRAZOL;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0910812250;11/07/2025;TODAS
linezolida;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0717440257;27/05/2025;TODAS
NESH CÁLCIO;NUNESFARMA PRODUTOS FARMACÊUTICOS LTDA;75.014.167/0001-00;1176266241;27/08/2024;TODAS
acetato de caspofungina;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;4869207222;26/10/2022;TODAS
sinvastatina;CIMED INDUSTRIA S.A;02.814.497/0001-07;0540727253;22/04/2025;TODAS
CITALOPRAM (Port. 344/98, L-C1);SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0731642252;29/05/2025;TODAS
CETOCONAZOL + DIPROPIONATO DE BETAMETASONA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0416240259;27/03/2025;TODAS
AFOPIC;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0552019259;24/04/2025;TODAS
ANTIDIN;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0483512193;30/05/2019;TODAS
metilsulfato de neostigmina;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2338503161;29/09/2016;TODAS
NAPROX;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1621674240;27/11/2024;TODAS
FLUXOCOR;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0658346253;15/05/2025;TODAS
CLOTRIMAZOL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0163088250;05/02/2025;TODAS
EZETIMIBA;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;1042312257;12/08/2025;TODAS
CLORIDRATO DE MOXIFLOXACINO;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0213681251;14/02/2025;TODAS
MORATUS;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0535761252;22/04/2025;TODAS
DEZEMIM;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;05.044.984/0001-26;1044608251;12/08/2025;TODAS
FLUCONAZOL;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;17.875.154/0001-20;0011663251;06/01/2025;TODAS
RADIOGLIC;COMISSAO NACIONAL DE ENERGIA NUCLEAR;00.402.552/0001-26;0672761171;03/01/2023;TODAS
PIETRA ED;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0506049221;10/02/2022;TODAS
cetoprofeno;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1053121253;13/08/2025;TODAS
PRIMERA 20;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1134803222;16/03/2022;TODAS
BASAGLAR;ELI LILLY DO BRASIL LTDA;43.940.618/0001-44;2620319226;28/04/2022;TODAS
carbamazepina;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;0839536259;26/06/2025;TODAS
CLORIDRATO DE SEVELAMER;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;1430702212;14/04/2021;TODAS
ibuprofeno;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1553642244;12/11/2024;TODAS
LERCAN;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;1169001254;02/09/2025;TODAS
cloridrato de amitriptilina;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;0843722258;27/06/2025;TODAS
ACECLOFENACO;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;0323033253;10/03/2025;TODAS
DESAIRON;EMS S/A;57.507.378/0003-65;0083217258;20/01/2025;TODAS
TADALAFILA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1328686248;27/09/2024;TODAS
PROPIONATO DE CLOBETASOL;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0119832259;28/01/2025;TODAS
ASPARGIL C;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;1395460211;12/04/2021;TODAS
tadalafila;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;0988101254;30/07/2025;TODAS
BIO-MANGUINHOS ALFATALIGLICERASE;FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;0273974217;21/01/2021;TODAS
DIENOGESTE;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0506061221;10/02/2022;TODAS
DICLORIDRATO DE BETAISTINA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;8506799210;27/12/2021;TODAS
NITRATO DE FENTICONAZOL;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;0949946231;06/09/2023;TODAS
fulvestranto;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1101421240;12/08/2024;TODAS
FLOSEAL;BAXTER HOSPITALAR LTDA;49.351.786/0002-61;0186749252;10/02/2025;TODAS
ENDOFOLIN;MARJAN INDÚSTRIA E COMÉRCIO LTDA;60.726.692/0001-81;0854429255;30/06/2025;TODAS
DICLOFENACO SÓDICO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;5099467229;27/12/2022;TODAS
hemifumarato de bisoprolol;MERCK S/A;33.069.212/0001-84;1416214241;15/10/2024;TODAS
GAMUNEX;GRIFOLS BRASIL LTDA;02.513.899/0001-71;0193236257;11/02/2025;TODAS
CLORIDRATO DE AMITRIPTILINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;2312804176;22/12/2017;TODAS
DIPIRONA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0205959253;13/02/2025;TODAS
succinato de solifenacina;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;0922749248;05/07/2024;TODAS
FAULBLASTINA;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;1375269241;07/10/2024;TODAS
DEXMINE;CIMED INDUSTRIA S.A;02.814.497/0001-07;3897500209;06/11/2020;TODAS
ACU FRESH;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;0971232253;25/07/2025;TODAS
KAVIUM;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;1118551231;18/10/2023;TODAS
Vacina sarampo, caxumba, rubéola e varicela (atenuada);FUNDAÇÃO OSWALDO CRUZ;33.781.055/0001-35;0964373254;24/07/2025;TODAS
VENZER HCT;LIBBS FARMACÊUTICA LTDA;61.230.314/0001-75;0915485257;14/07/2025;TODAS
DICLORIDRATO DE BETAISTINA;Althaia S.A Indústria Farmacêutica;48.344.725/0007-19;4943459218;08/12/2021;TODAS
rosuvastatina cálcica;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;0948889241;11/07/2024;TODAS
OPDIVO;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;56.998.982/0001-07;1050553250;13/08/2025;TODAS
SINVAX;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;2303487204;16/07/2020;TODAS
MINÉRGI;SUPERA FARMA LABORATÓRIOS S.A;43.312.503/0001-05;3846497207;03/11/2020;TODAS
norfloxacino;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;0161727255;05/02/2025;TODAS
cloridrato de fluoxetina;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1501782216;19/04/2021;TODAS
DICLOFENACO COLESTIRAMINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;10.588.595/0010-92;1122445253;20/08/2025;TODAS
ZART H;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1202908250;10/09/2025;TODAS
BROMIDRATO DE DARIFENACINA;ADIUM S.A.;55.980.684/0001-27;0049568248;15/01/2024;TODAS
FLUARIX TETRA;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;0603365256;05/05/2025;TODAS
LOSARTANA POTASSICA+HIDROCLOROTIAZIDA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;0397706251;24/03/2025;TODAS
Ártico Caps;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1181088259;04/09/2025;TODAS
EUPEPT;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;0302058257;06/03/2025;TODAS
MAXIDEX;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0221274251;17/02/2025;TODAS
ALENDRONATO DE SODIO;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;0522336256;16/04/2025;TODAS
FLOMICIN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;05.161.069/0001-10;0312660251;07/03/2025;TODAS
CERUMIN;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0264127251;25/02/2025;TODAS
RILUZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;0968557210;12/03/2021;TODAS
BESILATO DE ANLODIPINO;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;03.485.572/0001-04;1446041247;21/10/2024;TODAS
SAIZEN;MERCK S/A;33.069.212/0001-84;1492412219;19/04/2021;TODAS
VIGAMOX;NOVARTIS BIOCIENCIAS S.A;56.994.502/0001-30;0269034251;26/02/2025;TODAS
HISTADIN D;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;1114234249;14/08/2024;TODAS
PLANTOLAXY;NATULAB LABORATORIO S.A;02.456.955/0001-83;1284583163;03/01/2023;TODAS
