Medicamento;Empresa;CNPJ;Expediente;Data de Publicação;Data de Publicação (dt);Categoria
MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2101088169;20/07/2016;2016-07-20;generico
AZITROMICINA;CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;17.562.075/0001-69;2104566166;21/07/2016;2016-07-21;generico
imipenem + cilastatina sódica;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;2103488165;21/07/2016;2016-07-21;generico
NITRATO DE MICONAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2110092166;22/07/2016;2016-07-22;generico
AZITROLAB;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;2151318160;04/08/2016;2016-08-04;similar
CHOFRAFIG;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;2182590164;15/08/2016;2016-08-15;especifico
VORICONAZOL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;2188800161;16/08/2016;2016-08-16;generico
KATRIZAN;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;2210556165;23/08/2016;2016-08-23;similar
DIPIRALGIN;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;376959000126;2210381163;23/08/2016;2016-08-23;similar
ENFLURAN;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2210571169;23/08/2016;2016-08-23;similar
losartana potássica;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;2240497160;31/08/2016;2016-08-31;generico
CARNABOL;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;2256808165;06/09/2016;2016-09-06;especifico
telmisartana + hidroclorotiazida;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;2263405163;08/09/2016;2016-09-08;generico
FACTIVE;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;2274576169;12/09/2016;2016-09-12;novo
CEFALIUM;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;2283574161;14/09/2016;2016-09-14;novo
NOVOFER PED;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;2304082163;20/09/2016;2016-09-20;especifico
IQUEGO - PROPANOLOL;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;2301741164;20/09/2016;2016-09-20;similar
HIDRAFIX;TAKEDA PHARMA LTDA.;60.397.775/0001-74;2306873166;21/09/2016;2016-09-21;especifico
CLORIDRATO DE AMBROXOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2332985168;28/09/2016;2016-09-28;generico
NOVOFER;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;2337412168;29/09/2016;2016-09-29;especifico
metilsulfato de neostigmina;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2338503161;29/09/2016;2016-09-29;generico
CEFACIMED;CIMED INDUSTRIA S.A;2814497000107;2353171161;04/10/2016;2016-10-04;similar
FUMARATO DE CETOTIFENO;HIPOLABOR FARMACEUTICA LTDA;19.570.720/0001-10;2356854162;05/10/2016;2016-10-05;generico
cloridrato de diltiazem;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;2400783168;18/10/2016;2016-10-18;generico
FUNED DONEPEZILA;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;2445168161;01/11/2016;2016-11-01;similar
CLORIDRATO DE DONEPEZILA;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;2445207166;01/11/2016;2016-11-01;generico
VELENAXOL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;61.286.647/0001-16;2462537160;07/11/2016;2016-11-07;similar
STONGEL;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA;44.010.437/0001-81;2504257162;18/11/2016;2016-11-18;similar
CLOTRIMAZOL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;2504945163;18/11/2016;2016-11-18;generico
TOBRAMICINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2517222161;23/11/2016;2016-11-23;generico
LFM ZIPRASIDONA;LABORATÓRIO FARMACÊUTICO DA MARINHA;394502007157;2548887162;01/12/2016;2016-12-01;similar
VITARISTON C;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2563993165;06/12/2016;2016-12-06;especifico
GLIMERAN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;2565548165;06/12/2016;2016-12-06;similar
PACLITAX;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;2590324161;12/12/2016;2016-12-12;similar
teicoplanina;INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;33.258.401/0001-03;2594287165;13/12/2016;2016-12-13;generico
GINOFLORAX;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A;8939548000103;2594979169;13/12/2016;2016-12-13;novo
VITAL COLIRIO;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;64287178;13/01/2017;2017-01-13;similar
CAPTOPRIL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;78270170;16/01/2017;2017-01-16;generico
FLUCONAZOL;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;92465172;18/01/2017;2017-01-18;generico
METVIX;GALDERMA BRASIL LTDA;317372000146;100369171;19/01/2017;2017-01-19;novo
LANZOPRAZOL + CLARITROMICINA + AMOXICILINA;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;100880173;19/01/2017;2017-01-19;generico
FUNED CETOCONAZOL;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;106120178;20/01/2017;2017-01-20;similar
PENKARON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;147188171;27/01/2017;2017-01-27;similar
amoxicilina;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;222714172;09/02/2017;2017-02-09;generico
Amoxicilina;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;222824176;09/02/2017;2017-02-09;generico
ERITROPOIETINA;CHRON EPIGEN INDÚSTRIA E COMÉRCIO LTDA;4415365000138;243619171;13/02/2017;2017-02-13;biologico
IQUEGO-  HIDROCLOROTIAZIDA;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;287191172;21/02/2017;2017-02-21;similar
MEBENIX;CIMED INDUSTRIA S.A;2814497000107;300943172;23/02/2017;2017-02-23;similar
FEMME COM FLÚOR;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;378132171;09/03/2017;2017-03-09;especifico
FEMME;Aché Laboratórios Farmacêuticos S.A;60.659.463/0029-92;378318179;09/03/2017;2017-03-09;especifico
MATERSUPRE;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;377969176;09/03/2017;2017-03-09;especifico
LISINOPRIL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;447839178;20/03/2017;2017-03-20;generico
CIMETIDINA;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;447009175;20/03/2017;2017-03-20;generico
VITADERME;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;447123177;20/03/2017;2017-03-20;similar
ÁGUA PARA INJEÇÃO;ANTIBIÓTICOS DO BRASIL LTDA;5439635000103;460415176;22/03/2017;2017-03-22;especifico
MENTALOL;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;467644171;23/03/2017;2017-03-23;especifico
CEFOXITINA SÓDICA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;476058171;24/03/2017;2017-03-24;generico
albendazol;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;495991174;28/03/2017;2017-03-28;generico
MEBENDAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;505287174;29/03/2017;2017-03-29;generico
GANVIRAX;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;502127178;29/03/2017;2017-03-29;similar
ENDOCRIS;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;546546170;05/04/2017;2017-04-05;biologico
DELTA - IFAL;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;376959000126;553302173;06/04/2017;2017-04-06;similar
cloridrato de mepivacaína;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;560085175;07/04/2017;2017-04-07;generico
ARIFENICOL;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;593758172;11/04/2017;2017-04-11;similar
BIOVITA ZINCO;LABORATÓRIO FARMACÊUTICO VITAMED LTDA;29.346.301/0001-53;708338176;25/04/2017;2017-04-25;especifico
REXPECONE;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;721525178;26/04/2017;2017-04-26;similar
KEFORAL;ANTIBIÓTICOS DO BRASIL LTDA;5439635000103;914104179;17/05/2017;2017-05-17;novo
DEXAMETASONA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;939499171;19/05/2017;2017-05-19;generico
SVIR;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;973959179;23/05/2017;2017-05-23;similar
AMPLACILINA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;971544174;23/05/2017;2017-05-23;similar
clonazepam;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1076840178;01/06/2017;2017-06-01;generico
CLORIDRATO DE DOXICICLINA;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;1077470170;01/06/2017;2017-06-01;generico
CALCIUM SANDOZ + VITAMINA C LARANJA;GLAXOSMITHKLINE BRASIL LTDA;33.247.743/0001-10;1143388174;09/06/2017;2017-06-09;especifico
CETOCONAZOL;1FARMA INDUSTRIA FARMACEUTICA LTDA;48.113.906/0001-49;1188335179;14/06/2017;2017-06-14;generico
CLAFORDIL;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1236705172;20/06/2017;2017-06-20;similar
CLORIDRATO DE FLUOXETINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1232959172;20/06/2017;2017-06-20;generico
CEFADROXILA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;4301884000175;1258608171;22/06/2017;2017-06-22;generico
HIPODERME;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;1384921172;06/07/2017;2017-07-06;especifico
GABAPENTINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1383427174;06/07/2017;2017-07-06;generico
CEFTAZIDIMA;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;4301884000175;1414195177;10/07/2017;2017-07-10;generico
itraconazol;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;1427729178;11/07/2017;2017-07-11;generico
ANADOR;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;60.831.658/0001-77;1539629171;24/07/2017;2017-07-24;similar
cloridrato de dobutamina;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1576763179;28/07/2017;2017-07-28;generico
GLIBENCLAMIDA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1602257172;01/08/2017;2017-08-01;generico
SACIETTE;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;1629337171;04/08/2017;2017-08-04;similar
cloridrato de clomipramina;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;1662134174;08/08/2017;2017-08-08;generico
GAMA ANTI-HEPATITE B GRIFOLS;GRIFOLS BRASIL LTDA;2513899000171;1707236171;14/08/2017;2017-08-14;similar
cefalexina;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;4301884000175;1704608174;14/08/2017;2017-08-14;generico
GAMAGLOBULINA IM GRIFOLS;GRIFOLS BRASIL LTDA;2513899000171;1707329174;14/08/2017;2017-08-14;biologico
GAMA ANTI-TETANO GRIFOLS;GRIFOLS BRASIL LTDA;2513899000171;1707335179;14/08/2017;2017-08-14;similar
Gama anti-D Grifols;GRIFOLS BRASIL LTDA;2513899000171;1707181170;14/08/2017;2017-08-14;biologico
FLEBOGAMMA;GRIFOLS BRASIL LTDA;2513899000171;1707110171;14/08/2017;2017-08-14;similar
FANHDI;GRIFOLS BRASIL LTDA;2513899000171;1706564170;14/08/2017;2017-08-14;similar
IMUNOGLOBULIN;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1717479171;15/08/2017;2017-08-15;similar
CINCORDIL;EMS SIGMA PHARMA LTDA;923140000131;1716282173;15/08/2017;2017-08-15;similar
METREXATO;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1736545177;17/08/2017;2017-08-17;similar
MAGNOSTON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;1786226174;23/08/2017;2017-08-23;especifico
FUNED PARACETAMOL;FUNDAÇÃO EZEQUIEL DIAS - FUNED;17.503.475/0001-01;1832096171;29/08/2017;2017-08-29;similar
ORNITARGIN;LABORATÓRIOS BALDACCI LTDA;61.150.447/0001-31;1853702172;31/08/2017;2017-08-31;especifico
ZYDENA;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1850982177;31/08/2017;2017-08-31;novo
THIABEN;UCI  - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;1889521172;05/09/2017;2017-09-05;novo
VERTIGIUM;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;1954529171;13/09/2017;2017-09-13;similar
ranitidina;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;2010139172;23/09/2017;2017-09-23;generico
CITRATO DE SILDENAFILA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;2010132175;23/09/2017;2017-09-23;generico
CAPTOPRIL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;2016526179;26/09/2017;2017-09-26;generico
CLIOQDERM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;2035538176;28/09/2017;2017-09-28;similar
TRUSOPT;MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA;15.127.898/0001-30;2063569179;02/10/2017;2017-10-02;novo
CLORETO DE SÓDIO 0,9% BASA;INDUSTRIA FARMACEUTICA BASA LTDA;88.610.555/0001-04;2088023175;06/10/2017;2017-10-06;especifico
norfloxacino;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;2105590174;11/10/2017;2017-10-11;generico
FLOXAMOX;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;92.265.552/0009-05;2105596173;11/10/2017;2017-10-11;similar
NIULIVA;GRIFOLS BRASIL LTDA;2513899000171;2113050177;16/10/2017;2017-10-16;biologico
Omeprazol;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;2145869173;25/10/2017;2017-10-25;generico
TEUTOZOL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;2160049170;30/10/2017;2017-10-30;similar
NITRATO DE ISOCONAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;2158626178;30/10/2017;2017-10-30;generico
NEOPANTOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;2161245175;31/10/2017;2017-10-31;especifico
BEXETON;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;2188166179;09/11/2017;2017-11-09;similar
IQUEGO-AMOXICILINA;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;2223956171;22/11/2017;2017-11-22;similar
DELTAPIL;BELFAR LTDA;18.324.343/0001-77;2245680175;29/11/2017;2017-11-29;similar
CALAMYN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;2250114172;30/11/2017;2017-11-30;similar
CICATRENE;FARMOQUÍMICA S/A;33.349.473/0001-58;2253474171;01/12/2017;2017-12-01;similar
ACETATO DE CIPROTERONA+ETINILESTRADIOL;MABRA FARMACEUTICA LTDA;9545589000188;2279076174;12/12/2017;2017-12-12;generico
VALYANNE;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;2274491176;12/12/2017;2017-12-12;fitoterapico
PACLIMEIZ;GADOR DO BRASIL - COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;11.291.720/0001-70;2282243177;13/12/2017;2017-12-13;similar
OXALIMEIZ;GADOR DO BRASIL - COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;11.291.720/0001-70;2282070171;13/12/2017;2017-12-13;similar
ZELMAC;BIOLAB SANUS FARMACÊUTICA LTDA;49.475.833/0001-06;2286267176;14/12/2017;2017-12-14;novo
FURP-HIOSCINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;2294168171;15/12/2017;2017-12-15;similar
PIROXICAM;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;2298279175;18/12/2017;2017-12-18;generico
CLORIDRATO DE AMITRIPTILINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;2312804176;22/12/2017;2017-12-22;generico
CETONEO;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;2321280172;27/12/2017;2017-12-27;similar
FURP-DIGOXINA;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;43.640.754/0001-19;2327223176;29/12/2017;2017-12-29;similar
CIXIN;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;6591189;04/01/2018;2018-01-04;similar
NITRATO DE ISOCONAZOL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;25749184;11/01/2018;2018-01-11;generico
RINGER COM LACTÁTO DE SÓDIO;INDUSTRIA FARMACEUTICA BASA LTDA;88.610.555/0001-04;68547180;29/01/2018;2018-01-29;especifico
HYPERATIV;BIONATUS LABORATÓRIO BOTÂNICO LTDA;68.032.192/0001-51;68350187;29/01/2018;2018-01-29;fitoterapico
SVUDIN;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;44.734.671/0001-51;74694181;30/01/2018;2018-01-30;similar
CARBAMAZEPINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;75019181;30/01/2018;2018-01-30;generico
cloridrato de ciclobenzaprina;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;102146180;07/02/2018;2018-02-07;generico
GINKOTAB;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;134324186;21/02/2018;2018-02-21;fitoterapico
maleato de dexclorfeniramina;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;133860189;21/02/2018;2018-02-21;generico
CLIOQDERM;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;141170185;23/02/2018;2018-02-23;similar
Busilvex;LABORATÓRIOS PIERRE FABRE DO BRASIL LTDA;33.051.491/0001-59;152399186;27/02/2018;2018-02-27;novo
CETOCONAZOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;170516184;06/03/2018;2018-03-06;generico
KAMRHO-D;PANAMERICAN MEDICAL SUPPLY SUPRIMENTOS MÉDICOS LTDA;1329816000126;176810187;07/03/2018;2018-03-07;similar
BRONTEK;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;214976181;20/03/2018;2018-03-20;similar
acetato de dexametasona;CIMED INDUSTRIA S.A;2814497000107;243417182;29/03/2018;2018-03-29;generico
DIPIRONA SODICA;INDÚSTRIA QUÍMICA DO ESTADO DE GOIÁS S/A - IQUEGO;1541283000141;258290182;04/04/2018;2018-04-04;similar
TILENATI;NATIVITA IND. COM. LTDA.;65.271.900/0001-19;261819182;05/04/2018;2018-04-05;similar
NISTATINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;273918186;09/04/2018;2018-04-09;generico
ACEBROFILINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;274123187;09/04/2018;2018-04-09;generico
TEFIN;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;280089186;11/04/2018;2018-04-11;novo
SEDALIVE;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;30.222.814/0001-31;298152181;17/04/2018;2018-04-17;similar
ALFAEPOETINA;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;2154988165;24/04/2018;2018-04-24;biologico
Betogenta;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;324462188;25/04/2018;2018-04-25;similar
MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;325055185;25/04/2018;2018-04-25;generico
Ibuprofeno;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;324749180;25/04/2018;2018-04-25;generico
BETRICORT;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;324555181;25/04/2018;2018-04-25;similar
GABAPENTINA;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;330295184;26/04/2018;2018-04-26;generico
GLIBENCLAMIDA;RANBAXY FARMACÊUTICA LTDA;73.663.650/0001-90;330238185;26/04/2018;2018-04-26;generico
METAXON;BLAU FARMACÊUTICA S.A.;58.430.828/0001-60;338373183;27/04/2018;2018-04-27;similar
CLORIDRATO DE LINCOMICINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;336602182;27/04/2018;2018-04-27;generico
ESTOMAZIL PASTILHAS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;356714181;04/05/2018;2018-05-04;especifico
NEOPRAZOL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;362306188;07/05/2018;2018-05-07;similar
GINGILONE;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;61.082.426/0002-07;363533183;08/05/2018;2018-05-08;similar
PLUSVAC;LABORATORIO DE EXTRATOS ALERGENICOS LTDA;28.614.626/0001-07;367376186;09/05/2018;2018-05-09;similar
METADOXIL;LABORATÓRIOS BALDACCI LTDA;61.150.447/0001-31;368215183;09/05/2018;2018-05-09;novo
MONOCORDIL;LABORATÓRIOS BALDACCI LTDA;61.150.447/0001-31;367919185;09/05/2018;2018-05-09;novo
FOLONIN;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;375641186;10/05/2018;2018-05-10;especifico
PARVULAN;LABORATORIO DE EXTRATOS ALERGENICOS LTDA;28.614.626/0001-07;377237183;11/05/2018;2018-05-11;similar
POSPRAND;GLENMARK FARMACÊUTICA LTDA;44.363.661/0001-57;379842189;11/05/2018;2018-05-11;similar
EXTRALERG;LABORATORIO DE EXTRATOS ALERGENICOS LTDA;28.614.626/0001-07;377209188;11/05/2018;2018-05-11;similar
FLUORURACILA;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;61.282.661/0001-41;382427186;14/05/2018;2018-05-14;generico
losartana potássica;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;4301884000175;391964181;16/05/2018;2018-05-16;generico
Gino-Colon;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;392473184;16/05/2018;2018-05-16;similar
OTOMIXYN;EMS S/A;57.507.378/0003-65;391689188;16/05/2018;2018-05-16;generico
CLORIDRATO DE DEXMEDETOMIDINA;VOLPHARMA DISTRIBUIDORA DE PRODUTOS HOSPITALARES E FARMACÊUTICOS LTDA;14.665.928/0001-08;410620182;22/05/2018;2018-05-22;generico
ULTIDIN;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;414418180;23/05/2018;2018-05-23;similar
ALERGIDEX;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;5161069000110;419279186;24/05/2018;2018-05-24;similar
COLCHICINA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;451334187;06/06/2018;2018-06-06;generico
tioconazol + tinidazol;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;451087189;06/06/2018;2018-06-06;generico
aciclovir;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;451182184;06/06/2018;2018-06-06;generico
maleato de dexclorfeniramina;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;450991189;06/06/2018;2018-06-06;generico
CIMAHER;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;466073181;12/06/2018;2018-06-12;biologico
Dexametasona;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;468983186;12/06/2018;2018-06-12;generico
NITRATO DE MICONAZOL;LABORATÓRIO TEUTO BRASILEIRO S/A;17.159.229/0001-76;469542189;12/06/2018;2018-06-12;generico
cetoconazol + dipropionato de betametasona;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;474195181;13/06/2018;2018-06-13;generico
CONACORT;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;473891188;13/06/2018;2018-06-13;similar
FUNGIROX;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;48.396.378/0001-82;477847182;14/06/2018;2018-06-14;similar
DICLOFENACO DIETILAMÔNIO;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;480389182;15/06/2018;2018-06-15;generico
CELETIL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;479930185;15/06/2018;2018-06-15;similar
cloridrato de ambroxol;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;480613181;15/06/2018;2018-06-15;generico
Dipropionato de Betametasona + Sulfato de Gentamicina;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;488313186;18/06/2018;2018-06-18;generico
Dipropionato de Betametasona + Sulfato de Gentamicina;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;488364181;18/06/2018;2018-06-18;generico
cetoconazol;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;491186185;19/06/2018;2018-06-19;generico
TINIDAZOL + NITRATO DE MICONAZOL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;501150187;22/06/2018;2018-06-22;generico
GLIBENCLAMIDA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;3485572000104;501351188;22/06/2018;2018-06-22;generico
