Medicamento;Empresa;CNPJ;Expediente;Data de Publicação_rel;Data de Publicação_cat;Data de Publicação (dt)_rel;Data de Publicação (dt)_cat;Categoria;status
PROPESS;LABORATÓRIOS FERRING LTDA;74.232.034/0001-48;1193161240;29/08/2024;;2024-08-29;;;novo_em_relatorio
DIAMOX;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;267521251;25/02/2025;;2025-02-25;;;novo_em_relatorio
VITAMINA C INJETÁVEL;FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA;06.628.333/0001-46;215010248;23/02/2024;;2024-02-23;;;novo_em_relatorio
FLUCONAZOL;ZYDUS NIKKHO FARMACÊUTICA LTDA;05.254.971/0001-81;815162138;26/09/2013;;2013-09-26;;;novo_em_relatorio
SOLUÇÃO GLICOFISIOLÓGICA EQUIPLEX;EQUIPLEX INDÚSTRIA FARMACÊUTICA LTDA;01.784.792/0001-03;953346251;22/07/2025;;2025-07-22;;;novo_em_relatorio
CETOCONAZOL;EMS S/A;57.507.378/0003-65;88041255;21/01/2025;;2025-01-21;;;novo_em_relatorio
triancinolona acetonida;PRATI DONADUZZI & CIA LTDA;73.856.593/0001-66;810417251;17/06/2025;;2025-06-17;;;novo_em_relatorio
TROMBOFOB GEL;ABBOTT LABORATÓRIOS DO BRASIL LTDA;56.998.701/0001-16;56348258;15/01/2025;;2025-01-15;;;novo_em_relatorio
MUCOFAN;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;60.665.981/0001-18;15836240;05/01/2024;;2024-01-05;;;novo_em_relatorio
anastrozol;EUROFARMA LABORATÓRIOS S.A.;61.190.096/0001-92;1322704244;26/09/2024;;2024-09-26;;;novo_em_relatorio
TYGACIL;PFIZER BRASIL LTDA;61.072.393/0001-33;1718762241;17/12/2024;;2024-12-17;;;novo_em_relatorio
adapaleno;GERMED FARMACEUTICA LTDA;45.992.062/0001-65;155541251;04/02/2025;;2025-02-04;;;novo_em_relatorio
