"disease","disease_label","alt_label"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10060","Neuroectodermal Tumors",
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10061","Neuroectodermal Tumor, Melanotic","Melanoameloblastoma"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10061","Neuroectodermal Tumor, Melanotic","Progonoma, Melanotic"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10061","Neuroectodermal Tumor, Melanotic","Retinal Anlage Tumor"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10062","Periodontal Attachment Loss","Attachment Loss, Periodontal"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10064","Hypophosphatemia",
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10068","Myocardial Stunning","Hibernation, Myocardial"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10068","Myocardial Stunning","Myocardial Hibernation"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID10068","Myocardial Stunning","Stunned Myocardium"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","BSPDC Bilateral striopallidodentate calcinosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Basal Ganglia Calcification, Idiopathic, 1"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Bilateral Striopallidodentate Calcinosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Cerebrovascular ferrocalcinosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Fahr's syndrome"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Familial idiopathic basal ganglia calcification"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Ferrocalcinosis, Cerebrovascular"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Fibgc"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Idiopathic basal ganglia calcification 1"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Striopallidodentate Calcinosis"
"http://rdf.ncbi.nlm.nih.gov/pubchem/disease/DZID1007","Fahr's disease","Striopallidodentate Calcinosis, Bilateral"
